x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
age,age,1.0,predict_itself,True,,0.0,1.0,
age,campaign,0.0,regression,True,mean absolute error,1.5188,1.7598650680752652,DecisionTreeRegressor()
age,pdays,0.0,regression,True,mean absolute error,34.3472,64.19188825669957,DecisionTreeRegressor()
age,previous,0.0,regression,True,mean absolute error,0.1646,0.2752079436089126,DecisionTreeRegressor()
age,emp.var.rate,0.0,regression,True,mean absolute error,1.27854,1.369605956690581,DecisionTreeRegressor()
age,cons.price.idx,0.01,regression,True,mean absolute error,0.5086362000000009,0.5025935603858692,DecisionTreeRegressor()
age,cons.conf.idx,0.0,regression,True,mean absolute error,3.7565400000000007,3.896679707244326,DecisionTreeRegressor()
age,euribor3m,0.0,regression,True,mean absolute error,1.341607,1.5113207672039637,DecisionTreeRegressor()
age,nr.employed,0.0,regression,True,mean absolute error,54.77754000000009,58.30840007436418,DecisionTreeRegressor()
age,subscribed,0.03,classification,True,weighted F1,0.8338834128245893,0.839189926029167,DecisionTreeClassifier()
age,job_admin.,0.0,classification,True,weighted F1,0.6436654404204273,0.6436654851455215,DecisionTreeClassifier()
age,job_blue-collar,0.0,classification,True,weighted F1,0.676487536623845,0.6764875938641238,DecisionTreeClassifier()
age,job_entrepreneur,0.0,classification,True,weighted F1,0.9460336490477644,0.9460336807440198,DecisionTreeClassifier()
age,job_housemaid,0.0,classification,True,weighted F1,0.960873887931908,0.960673872768558,DecisionTreeClassifier()
age,job_management,0.0,classification,True,weighted F1,0.8918827192527243,0.8918827527999239,DecisionTreeClassifier()
age,job_other,0.0,classification,True,weighted F1,0.986819445560466,0.986819445560466,DecisionTreeClassifier()
age,job_retired,0.35,classification,True,weighted F1,0.9368591744993869,0.9587666651715192,DecisionTreeClassifier()
age,job_self-employed,0.0,classification,True,weighted F1,0.9466262498727217,0.9466262815367164,DecisionTreeClassifier()
age,job_services,0.0,classification,True,weighted F1,0.8584201680672268,0.8584201680672268,DecisionTreeClassifier()
age,job_student,0.27,classification,True,weighted F1,0.9698030508132135,0.9778225295915249,DecisionTreeClassifier()
age,job_technician,0.0,classification,True,weighted F1,0.7652658690450294,0.7652659205141222,DecisionTreeClassifier()
age,job_unemployed,0.0,classification,True,weighted F1,0.961765964343598,0.961765964343598,DecisionTreeClassifier()
age,marital_divorced,0.0,classification,True,weighted F1,0.8347465140919686,0.835313363115769,DecisionTreeClassifier()
age,marital_married,0.25,classification,True,weighted F1,0.5204,0.637918136027865,DecisionTreeClassifier()
age,marital_other,0.0,classification,True,weighted F1,0.9976006405124099,0.9976006405124099,DecisionTreeClassifier()
age,marital_single,0.32,classification,True,weighted F1,0.5890642957416939,0.7225214565169464,DecisionTreeClassifier()
age,education_basic.4y,0.06,classification,True,weighted F1,0.8459862403714254,0.8554064860481058,DecisionTreeClassifier()
age,education_basic.6y,0.0,classification,True,weighted F1,0.9159242152927858,0.9158242922734308,DecisionTreeClassifier()
age,education_basic.9y,0.0,classification,True,weighted F1,0.7824970286331714,0.7822981867906786,DecisionTreeClassifier()
