x,y,ppscore,case,is_valid_score,metric,baseline_score,model_score,model
age,job_retired,0.35,classification,True,weighted F1,0.9368591744993869,0.9587666651715192,DecisionTreeClassifier()
age,job_student,0.27,classification,True,weighted F1,0.9698030508132135,0.9778225295915249,DecisionTreeClassifier()
age,marital_married,0.25,classification,True,weighted F1,0.5204,0.637918136027865,DecisionTreeClassifier()
age,marital_single,0.32,classification,True,weighted F1,0.5890642957416939,0.7225214565169464,DecisionTreeClassifier()
pdays,subscribed,0.19,classification,True,weighted F1,0.8338834128245893,0.8657783935317429,DecisionTreeClassifier()
pdays,poutcome_nonexistent,0.37,classification,True,weighted F1,0.8086619878035733,0.8785603995835604,DecisionTreeClassifier()
pdays,poutcome_success,0.91,classification,True,weighted F1,0.9531504216194249,0.9956555919515867,DecisionTreeClassifier()
previous,poutcome_failure,0.79,classification,True,weighted F1,0.8537885521885522,0.9698094255732443,DecisionTreeClassifier()
previous,poutcome_nonexistent,1.0,classification,True,weighted F1,0.8086619878035733,1.0,DecisionTreeClassifier()
emp.var.rate,cons.price.idx,0.66,regression,True,mean absolute error,0.5086362000000009,0.17343327245955226,DecisionTreeRegressor()
emp.var.rate,cons.conf.idx,0.54,regression,True,mean absolute error,3.7565400000000007,1.716812623297123,DecisionTreeRegressor()
emp.var.rate,euribor3m,0.96,regression,True,mean absolute error,1.341607,0.047196320204877226,DecisionTreeRegressor()
emp.var.rate,nr.employed,0.95,regression,True,mean absolute error,54.77754000000009,2.8542838165035174,DecisionTreeRegressor()
emp.var.rate,contact_cellular,0.58,classification,True,weighted F1,0.5252,0.8000277672899249,DecisionTreeClassifier()
emp.var.rate,contact_telephone,0.58,classification,True,weighted F1,0.5252,0.8000277672899249,DecisionTreeClassifier()
emp.var.rate,month_dec,0.97,classification,True,weighted F1,0.9934048506714773,0.9997889290334092,DecisionTreeClassifier()
emp.var.rate,month_may,0.83,classification,True,weighted F1,0.5504,0.9222538463748222,DecisionTreeClassifier()
emp.var.rate,month_nov,0.9,classification,True,weighted F1,0.8561036164844407,0.9850336937361908,DecisionTreeClassifier()
emp.var.rate,poutcome_nonexistent,0.18,classification,True,weighted F1,0.8086619878035733,0.8426116218948787,DecisionTreeClassifier()
cons.price.idx,emp.var.rate,1.0,regression,True,mean absolute error,1.27854,0.0005600000000108721,DecisionTreeRegressor()
cons.price.idx,cons.conf.idx,1.0,regression,True,mean absolute error,3.7565400000000007,0.0025800000002702828,DecisionTreeRegressor()
cons.price.idx,euribor3m,0.99,regression,True,mean absolute error,1.341607,0.017992864630769278,DecisionTreeRegressor()
cons.price.idx,nr.employed,1.0,regression,True,mean absolute error,54.77754000000009,0.030560000030659104,DecisionTreeRegressor()
cons.price.idx,subscribed,0.17,classification,True,weighted F1,0.8338834128245893,0.8620171961559047,DecisionTreeClassifier()
cons.price.idx,contact_cellular,0.83,classification,True,weighted F1,0.5252,0.9214748816308082,DecisionTreeClassifier()
cons.price.idx,contact_telephone,0.83,classification,True,weighted F1,0.5252,0.9214748816308082,DecisionTreeClassifier()
cons.price.idx,month_apr,1.0,classification,True,weighted F1,0.9038849111202977,1.0,DecisionTreeClassifier()
cons.price.idx,month_aug,1.0,classification,True,weighted F1,0.7856143319663286,1.0,DecisionTreeClassifier()
cons.price.idx,month_dec,1.0,classification,True,weighted F1,0.9934048506714773,1.0,DecisionTreeClassifier()
cons.price.idx,month_jul,1.0,classification,True,weighted F1,0.7456105217010083,1.0,DecisionTreeClassifier()
cons.price.idx,month_jun,1.0,classification,True,weighted F1,0.8138056593699947,1.0,DecisionTreeClassifier()
cons.price.idx,month_mar,1.0,classification,True,weighted F1,0.9781536818777072,1.0,DecisionTreeClassifier()
cons.price.idx,month_may,1.0,classification,True,weighted F1,0.5504,1.0,DecisionTreeClassifier()
cons.price.idx,month_nov,1.0,classification,True,weighted F1,0.8561036164844407,1.0,DecisionTreeClassifier()
cons.price.idx,month_oct,1.0,classification,True,weighted F1,0.972187301907742,1.0,DecisionTreeClassifier()
cons.price.idx,month_sep,1.0,classification,True,weighted F1,0.9796465565847764,1.0,DecisionTreeClassifier()
cons.price.idx,poutcome_nonexistent,0.25,classification,True,weighted F1,0.8086619878035733,0.8566751711936675,DecisionTreeClassifier()
cons.conf.idx,emp.var.rate,1.0,regression,True,mean absolute error,1.27854,0.0003200000000125538,DecisionTreeRegressor()
cons.conf.idx,cons.price.idx,1.0,regression,True,mean absolute error,0.5086362000000009,2.740000060830994e-05,DecisionTreeRegressor()
cons.conf.idx,euribor3m,0.99,regression,True,mean absolute error,1.341607,0.01787636208157422,DecisionTreeRegressor()
cons.conf.idx,nr.employed,1.0,regression,True,mean absolute error,54.77754000000009,0.015440000035043158,DecisionTreeRegressor()
cons.conf.idx,subscribed,0.17,classification,True,weighted F1,0.8338834128245893,0.8620171961559047,DecisionTreeClassifier()
cons.conf.idx,contact_cellular,0.83,classification,True,weighted F1,0.5252,0.9214748816308082,DecisionTreeClassifier()
cons.conf.idx,contact_telephone,0.83,classification,True,weighted F1,0.5252,0.9214748816308082,DecisionTreeClassifier()
cons.conf.idx,month_apr,1.0,classification,True,weighted F1,0.9038849111202977,1.0,DecisionTreeClassifier()
cons.conf.idx,month_aug,1.0,classification,True,weighted F1,0.7856143319663286,1.0,DecisionTreeClassifier()
cons.conf.idx,month_dec,0.97,classification,True,weighted F1,0.9934048506714773,0.9997889290334092,DecisionTreeClassifier()
cons.conf.idx,month_jul,1.0,classification,True,weighted F1,0.7456105217010083,1.0,DecisionTreeClassifier()
cons.conf.idx,month_jun,1.0,classification,True,weighted F1,0.8138056593699947,1.0,DecisionTreeClassifier()
cons.conf.idx,month_mar,1.0,classification,True,weighted F1,0.9781536818777072,1.0,DecisionTreeClassifier()
cons.conf.idx,month_may,1.0,classification,True,weighted F1,0.5504,0.9998000579202345,DecisionTreeClassifier()
cons.conf.idx,month_nov,1.0,classification,True,weighted F1,0.8561036164844407,1.0,DecisionTreeClassifier()
cons.conf.idx,month_oct,1.0,classification,True,weighted F1,0.972187301907742,1.0,DecisionTreeClassifier()
cons.conf.idx,month_sep,1.0,classification,True,weighted F1,0.9796465565847764,1.0,DecisionTreeClassifier()
cons.conf.idx,poutcome_nonexistent,0.25,classification,True,weighted F1,0.8086619878035733,0.8566751711936675,DecisionTreeClassifier()
euribor3m,emp.var.rate,0.97,regression,True,mean absolute error,1.27854,0.036690604228145414,DecisionTreeRegressor()
euribor3m,cons.price.idx,0.81,regression,True,mean absolute error,0.5086362000000009,0.09582922659596906,DecisionTreeRegressor()
euribor3m,cons.conf.idx,0.81,regression,True,mean absolute error,3.7565400000000007,0.7305120566704362,DecisionTreeRegressor()
euribor3m,nr.employed,0.97,regression,True,mean absolute error,54.77754000000009,1.7035974500739304,DecisionTreeRegressor()
euribor3m,subscribed,0.2,classification,True,weighted F1,0.8338834128245893,0.8677083373305461,DecisionTreeClassifier()
euribor3m,contact_cellular,0.74,classification,True,weighted F1,0.5252,0.8751957011178698,DecisionTreeClassifier()
euribor3m,contact_telephone,0.75,classification,True,weighted F1,0.5252,0.8795187249283378,DecisionTreeClassifier()
euribor3m,month_apr,0.98,classification,True,weighted F1,0.9038849111202977,0.9983882198769963,DecisionTreeClassifier()
euribor3m,month_aug,0.69,classification,True,weighted F1,0.7856143319663286,0.9330959898296275,DecisionTreeClassifier()
euribor3m,month_dec,0.42,classification,True,weighted F1,0.9934048506714773,0.9961734349920905,DecisionTreeClassifier()
euribor3m,month_jul,0.59,classification,True,weighted F1,0.7456105217010083,0.8956101919849642,DecisionTreeClassifier()
euribor3m,month_jun,0.59,classification,True,weighted F1,0.8138056593699947,0.9240948295731677,DecisionTreeClassifier()
euribor3m,month_mar,0.93,classification,True,weighted F1,0.9781536818777072,0.9984085987447456,DecisionTreeClassifier()
euribor3m,month_may,0.97,classification,True,weighted F1,0.5504,0.9843580017171342,DecisionTreeClassifier()
euribor3m,month_nov,0.96,classification,True,weighted F1,0.8561036164844407,0.9939525244245719,DecisionTreeClassifier()
euribor3m,month_oct,0.78,classification,True,weighted F1,0.972187301907742,0.993962838022264,DecisionTreeClassifier()
euribor3m,month_sep,0.7,classification,True,weighted F1,0.9796465565847764,0.993809116546987,DecisionTreeClassifier()
euribor3m,day_of_week_fri,0.53,classification,True,weighted F1,0.7283091591260208,0.8718008781149295,DecisionTreeClassifier()
euribor3m,day_of_week_mon,0.61,classification,True,weighted F1,0.692644755401321,0.8816015514149138,DecisionTreeClassifier()
euribor3m,day_of_week_thu,0.71,classification,True,weighted F1,0.7014489682097045,0.9140154500456237,DecisionTreeClassifier()
euribor3m,day_of_week_tue,0.59,classification,True,weighted F1,0.7213619121389842,0.8866583564361535,DecisionTreeClassifier()
euribor3m,day_of_week_wed,0.49,classification,True,weighted F1,0.7119408641563924,0.8536586434240349,DecisionTreeClassifier()
euribor3m,poutcome_nonexistent,0.22,classification,True,weighted F1,0.8086619878035733,0.8507505385577092,DecisionTreeClassifier()
nr.employed,emp.var.rate,1.0,regression,True,mean absolute error,1.27854,0.00026000000002370487,DecisionTreeRegressor()
